bin_id,pgn,count,iat_count,jitter_count,sum_iat,max_iat,sum_jitter
1774597175,127252,10,10,10,279,71,206
1774597175,127257,10,10,10,271,79,213
1774597175,127258,10,10,10,270,80,207
1774597175,127488,20,20,20,280,70,521
1774597175,127493,20,20,20,279,79,514
1774597175,129025,16,16,16,270,71,336
1774597175,129026,5,5,5,270,100,170
1774597175,129029,2,2,2,279,260,481
1774597175,129539,1,1,1,280,280,11
1774597175,129540,1,1,1,280,280,20
1774597175,130306,3,3,3,220,130,182
1774597175,130310,2,2,2,270,160,91
1774597175,130311,2,2,2,279,189,197
1774597175,130323,1,1,1,279,279,9
1774597175,130577,1,1,1,280,280,20
1774597175,130578,4,4,4,271,101,114
1774597175,130843,10,10,10,270,71,152
1774597175,65280,27,27,27,740,80,544
1774597175,126992,8,8,8,780,219,1130
1774597175,127245,54,54,54,740,49,984
1774597175,127250,106,106,106,730,70,1143
1774597175,127251,28,28,28,711,80,563
1774597175,127252,26,26,26,711,80,548
1774597175,127257,26,26,26,719,80,587
1774597175,127258,26,26,26,720,80,491
1774597175,127488,52,52,52,711,71,1254
1774597175,127493,52,52,52,719,80,1305
1774597175,129025,42,42,42,720,80,918
1774597175,129026,13,13,13,730,110,552
1774597175,129029,5,5,5,791,251,1126
1774597175,129038,3,3,3,1089,820,1111
1774597175,129539,3,3,3,810,271,13
1774597175,129540,2,2,2,550,280,10
1774597175,129793,1,1,1,4261,4261,3421
1774597175,130306,11,11,11,760,121,471
1774597175,130310,5,5,5,700,169,256
1774597175,130311,5,5,5,720,180,380
1774597175,130312,2,2,2,1038,539,488
1774597175,130314,2,2,2,1031,540,481
1774597175,130316,2,2,2,1090,550,20
1774597175,130323,2,2,2,541,271,9
1774597175,130577,3,3,3,810,270,10
1774597175,130578,10,10,10,700,110,353
1774597175,130843,26,26,26,720,80,499
1774597176,65280,10,10,10,260,70,180
1774597176,126992,3,3,3,260,201,343
1774597176,127245,20,20,20,260,50,508
1774597176,127250,42,42,42,271,60,426
1774597176,127251,12,12,12,280,80,232
1774597176,127252,11,11,11,289,79,270
1774597176,127257,11,11,11,281,79,217
1774597176,127258,11,11,11,280,72,181
1774597176,127488,22,22,22,289,79,541
1774597176,127493,22,22,22,281,79,446
1774597176,129025,17,17,17,280,71,374
1774597176,129026,6,6,6,280,99,186
1774597176,129029,2,2,2,260,241,444
1774597176,129539,1,1,1,261,261,8
1774597176,129540,1,1,1,260,260,10
1774597176,130306,4,4,4,260,110,140
1774597176,130310,2,2,2,269,150,62
1774597176,130311,2,2,2,260,170,160
1774597176,130323,1,1,1,269,269,1
1774597176,130577,1,1,1,260,260,10
1774597176,130578,5,5,5,309,99,171
1774597176,130843,11,11,11,281,79,191
1774597176,65280,25,25,25,680,99,529
1774597176,126992,7,7,7,589,239,797
1774597176,127245,52,52,52,730,50,1371
1774597176,127250,100,100,100,678,71,1025
1774597176,127251,28,28,28,680,91,578
1774597176,127252,25,25,25,671,90,501
1774597176,127257,25,25,25,671,90,531
1774597176,127258,25,25,25,679,90,493
1774597176,127488,50,50,50,671,90,1262
1774597176,127493,50,50,50,671,89,1162
1774597176,129025,40,40,40,680,82,865
1774597176,129026,12,12,12,670,110,463
1774597176,129029,5,5,5,579,271,1183
1774597176,129539,2,2,2,550,290,59
1774597176,129540,3,3,3,820,290,50
1774597176,129794,1,1,1,4330,4330,2480
1774597176,130306,10,10,10,669,130,397
1774597176,130310,5,5,5,661,170,218
1774597176,130311,5,5,5,649,200,442
1774597176,130312,2,2,2,551,311,299
1774597176,130314,2,2,2,550,310,300
1774597176,130316,1,1,1,550,550,10
1774597176,130323,3,3,3,811,290,67
1774597176,130577,2,2,2,551,290,59
1774597176,130578,10,10,10,671,110,332
1774597176,130843,25,25,25,679,82,430
1774597177,65280,10,10,10,270,70,179
1774597177,126992,3,3,3,261,202,346
1774597177,127245,20,20,20,279,49,473
1774597177,127250,40,40,40,271,61,396
1774597177,127251,11,11,11,270,79,268
1774597177,127252,10,10,10,270,79,230
1774597177,127257,10,10,10,279,79,245
1774597177,127258,10,10,10,271,71,188
1774597177,127488,20,20,20,278,78,488
1774597177,127493,20,20,20,278,79,492
1774597177,129025,16,16,16,270,70,369
1774597177,129026,5,5,5,271,100,216
1774597177,129029,2,2,2,261,241,442
1774597177,129038,1,1,1,1430,1430,1321
1774597177,129539,1,1,1,270,270,10
1774597177,129540,1,1,1,270,270,0
1774597177,130306,4,4,4,270,111,143
1774597177,130310,2,2,2,271,159,96
1774597177,130311,2,2,2,262,171,161
1774597177,130312,1,1,1,530,530,290
1774597177,130314,1,1,1,530,530,290
1774597177,130316,1,1,1,530,530,20
1774597177,130323,1,1,1,270,270,10
1774597177,130577,1,1,1,269,269,8
1774597177,130578,4,4,4,270,100,139
1774597177,130843,10,10,10,270,71,163
1774597177,65280,29,29,29,790,80,682
1774597177,126992,9,9,9,830,220,1120
1774597177,127245,56,56,56,731,49,1000
1774597177,127250,115,115,115,780,70,1234
1774597177,127251,32,32,32,790,80,654
1774597177,127252,29,29,29,790,81,567
1774597177,127257,29,29,29,780,79,573
1774597177,127258,28,28,28,770,80,519
1774597177,127488,58,58,58,782,71,1501
1774597177,127493,58,58,58,782,71,1409
1774597177,129025,45,45,45,770,80,1000
1774597177,129026,14,14,14,769,110,603
1774597177,129029,6,6,6,829,261,1425
1774597177,129038,4,4,4,761,240,1420
1774597177,129539,3,3,3,820,279,9
1774597177,129540,3,3,3,820,280,10
1774597177,129793,1,1,1,1829,1829,2432
1774597177,130306,12,12,12,820,129,523
1774597177,130310,6,6,6,828,160,263
1774597177,130311,6,6,6,829,180,472
1774597177,130312,2,2,2,609,549,508
1774597177,130314,2,2,2,609,550,511
1774597177,130316,1,1,1,550,550,20
1774597177,130323,3,3,3,829,280,11
1774597177,130577,3,3,3,830,280,11
1774597177,130578,11,11,11,770,110,433
1774597177,130843,28,28,28,770,79,510
1774597178,65280,10,10,10,260,80,204
1774597178,126992,3,3,3,269,210,362
1774597178,127245,20,20,20,270,49,415
1774597178,127250,41,41,41,270,60,380
1774597178,127251,11,11,11,269,79,199
1774597178,127252,10,10,10,269,80,202
1774597178,127257,10,10,10,270,71,225
1774597178,127258,11,11,11,280,79,211
